run_uuid,subject_id,session_id,object_id,trial_id,trial_order,repetition,condition,adaptive_haptics,adaptive_gripper,success,completion_time_s,penalized_time_s,approach_time_s,grasp_time_s,transport_time_s,release_time_s,force_peak_N,force_mean_N,deadline_miss_count,haptic_saturation_count,vision_queue_age_ms,vision_detection_count,vision_false_trigger_count,vision_false_trigger_rate,vision_no_lock,detection_to_contact_s,parameter_start_to_contact_s,source_summary,approach_force_peak_N,approach_force_rms_N,grasp_force_peak_N,grasp_force_rms_N,transport_force_peak_N,transport_force_rms_N,release_force_peak_N,release_force_rms_N,control_dt_median_ms,control_dt_p95_ms,control_dt_p99_ms,control_dt_max_ms,vision_queue_age_median_ms,vision_queue_age_p95_ms,deadline_miss_rate,haptic_saturation_rate
1686ffee-beba-4f6b-be77-7b71498af1b6,P07,P07_S1,apple,P07_T18,18,1,I_H,1,0,1,14.512870014994405,14.512870014994405,5.486720465007238,1.082650736992946,6.724417921010172,1.2190808919840492,8.284,2.921,147,0,67.472025,214,108,0.5046728971962616,0,1.188867813005345,1.1385766880121082,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R1\I_H_1686ffee-beba-4f6b-be77-7b71498af1b6_summary.json,2.4157035979974735,1.742390833717587,2.1020296465156205,2.014609006215906,8.283570632317145,5.2305335516370315,3.9035180993011394,3.371097428354302,5.072211002698168,18.637755754753016,75.00468535727177,117.0995949942153,133.782483,191.27045,0.06402439024390244,0.0
0d7c192a-f91d-462d-ba55-4b4fa2eea176,P07,P07_S1,apple,P07_T19,19,1,I_H_G,1,1,1,13.896480236988282,13.896480236988282,6.292486841004575,1.1351326369913295,5.209107436996419,1.2597533219959587,7.241,2.91,141,0,134.102802,210,87,0.4142857142857143,0,1.519937172997743,1.4902358779800124,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R1\I_H_G_0d7c192a-f91d-462d-ba55-4b4fa2eea176_summary.json,3.097750534547654,2.031072083018754,3.146712133751832,2.564665457575334,7.240652007637976,5.2254121934755,3.9452920720475624,3.5689852385816856,5.072276981081814,18.399784303619526,80.69224888284215,131.72145999851637,133.770122,180.496699,0.06286223807400802,0.0
9d9ceb08-9394-45ac-b9f4-831dc5c12074,P07,P07_S1,apple,P07_T24,24,2,I,0,0,1,14.498149649007246,14.498149649007246,5.064947683014907,1.0561983749794308,7.01304701299523,1.3639565780176781,8.505,3.44,147,0,125.689019,206,116,0.5631067961165048,0,1.4859772390045691,1.4096306829887908,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R2\I_9d9ceb08-9394-45ac-b9f4-831dc5c12074_summary.json,3.700987134983642,2.218911842661459,3.4920468024632507,2.7337652440672526,8.50544416111432,5.967870228497051,3.794369820200759,3.315657903854785,5.071728985058144,12.334594267304125,73.67992263956671,106.60137599916197,132.738779,161.06459359999994,0.062340966921119595,0.0
1072b1bc-3dcf-45d0-9435-81e665e196fc,P07,P07_S1,apple,P07_T21,21,2,I_G,0,1,1,14.2734603699937,14.2734603699937,6.033553426997969,1.119699517992558,5.828846049000276,1.2913613760028966,7.926,3.091,139,0,200.413208,200,50,0.25,0,1.5435563620121684,1.5424774439889006,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R2\I_G_1072b1bc-3dcf-45d0-9435-81e665e196fc_summary.json,2.859337082032009,1.977459784633846,5.105950326663762,2.6586210737606577,7.925547296701334,5.66169274380087,4.020212307250858,3.5445214120628,5.071928986581042,16.18920958135278,82.18039937608403,106.50237099616788,133.742255,199.577267,0.061970575122603656,0.0
e1560c8b-ec31-404a-9705-92781398a5e1,P07,P07_S1,apple,P07_T23,23,2,I_H,1,0,1,14.387159941979917,14.387159941979917,5.611174064979423,1.024884511018172,6.435612251982093,1.3154891140002292,7.844,3.133,147,0,133.761661,218,84,0.3853211009174312,0,1.586912671016762,1.5833757610234898,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R2\I_H_e1560c8b-ec31-404a-9705-92781398a5e1_summary.json,2.887547443845343,1.9541726777733133,2.3559979577937744,2.0008357139966075,7.843705379107611,5.7216485323391915,3.9137408805994798,3.4840730472096304,5.072222993476316,20.064914047543418,82.28644626651625,114.3894949927926,133.729002,176.953163,0.06639566395663957,0.0
fbb27fcb-c15d-47ed-b48d-ba274110ae26,P07,P07_S1,apple,P07_T22,22,2,I_H_G,1,1,1,15.056865505990572,15.056865505990572,7.6215908720041625,1.0632008030079305,5.144226375996368,1.2278474549821112,7.776,2.771,151,0,133.765873,228,144,0.631578947368421,0,2.514884885022184,2.4460232830024324,F:\sun\sunhan\消融实验数据\P07\P07_S1\G03_apple\R2\I_H_G_fbb27fcb-c15d-47ed-b48d-ba274110ae26_summary.json,3.3572095943856306,1.886799086637366,3.003436973470879,2.7171417258538417,7.776449152791792,5.371390216688736,4.1771843305323495,3.5813976014466538,5.0716349796857685,16.622337000444475,71.50432820548305,105.3681549965404,133.758857,183.033078,0.06247414149772445,0.0
0135aa8c-4576-4e4c-82c0-59edcee41b82,P07,P07_S2,banana,P07_T27,27,1,I,0,0,1,20.512579100002768,20.512579100002768,6.394398584001465,1.827528967987746,10.018922188988654,2.271729359024903,5.713,2.542,187,0,133.870247,136,18,0.1323529411764706,0,1.0410146520007402,1.0387927370029502,F:\sun\sunhan\消融实验数据\P07\P07_S2\G04_banana\R1\I_0135aa8c-4576-4e4c-82c0-59edcee41b82_summary.json,1.676323657339743,1.1149195879929439,3.227315878410152,2.2757217127121954,5.712926291698917,3.8775966466963605,5.005343968436459,3.2947271286673843,5.072294996352866,10.295455416780854,73.1938898866061,105.93731497647241,67.191088,158.983272,0.05802047781569966,0.0
c1e5c1d6-c143-4eba-a684-d2c901cbc8a0,P07,P07_S2,banana,P07_T26,26,1,I_G,0,1,1,18.50371545398957,18.50371545398957,4.93889119499363,3.2684081080078613,6.948581231990829,3.3478349189972505,6.093,2.601,150,0,139.516732,176,52,0.29545454545454547,0,1.6503278680029325,1.6489290409954265,F:\sun\sunhan\消融实验数据\P07\P07_S2\G04_banana\R1\I_G_c1e5c1d6-c143-4eba-a684-d2c901cbc8a0_summary.json,2.3674161475332687,1.5819491886060588,3.527744798813775,1.8196486495609046,6.092519297750049,3.943532839329688,5.380597189674219,3.8386293095756874,5.071698979008943,7.768088398734106,67.75534082669776,159.4851489935536,133.604024,143.153997,0.049850448654037885,0.0
317c3f23-f60e-485d-b0d5-25ef8a61a77a,P07,P07_S2,banana,P07_T25,25,1,I_H,1,0,1,17.029369518975727,17.029369518975727,8.113101026974618,1.758066726004472,4.957669787021587,2.20053197897505,6.386,2.315,161,0,67.496008,78,0,0.0,0,1.3790077960002236,1.3683972920116503,F:\sun\sunhan\消融实验数据\P07\P07_S2\G04_banana\R1\I_H_317c3f23-f60e-485d-b0d5-25ef8a61a77a_summary.json,2.9870296157182366,2.0059143788763607,3.2159291385096247,1.9846254943982538,6.386159308986621,3.7246359071502884,5.004937098038918,3.256247608955994,5.071659485111013,12.397981740650682,74.86091880069579,130.45715299085714,125.555183,143.184965,0.058460421205519246,0.0
5344036f-0d27-42eb-92b2-d430df4633d5,P07,P07_S2,banana,P07_T28,28,1,I_H_G,1,1,1,17.67688089798321,17.67688089798321,4.796355461992789,3.1440469909866806,6.304260675999103,3.4322177690046374,5.862,2.623,134,0,150.290838,176,70,0.3977272727272727,0,2.1570693340036087,2.15579119999893,F:\sun\sunhan\消融实验数据\P07\P07_S2\G04_banana\R1\I_H_G_5344036f-0d27-42eb-92b2-d430df4633d5_summary.json,2.6753278582916624,1.5336589773703506,2.2936675091052727,1.7337463931902128,5.8619032464802565,4.132307326112472,5.266732255581333,4.070856781357268,5.07144900620915,7.09159770340193,74.71390470978807,120.97291002282873,133.821926,158.266708,0.045906132237067486,0.0
