schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,timing_profile_version,prev_omega_io_s,prev_panda_state_s,prev_haptic_send_s,prev_impedance_update_s,prev_panda_command_s,prev_gripper_update_s,prev_record_s,prev_keyboard_status_s,prev_loop_work_s,prev_sleep_requested_s,prev_sleep_actual_s,diagnostic_disable_gripper_read,diagnostic_disable_vision,diagnostic_no_vision_display,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash
3,25.23057441599667,16.435895450995304,TRANSPORT,,W1,trust_experiment,-0.026998079864568134,-0.10335935305721508,0.0035625671115208845,1,-0.1168831168831169,0,0.3925660698166322,0.3379558503289598,0.16492418874903533,0.3991532004090115,0.3207827628326699,0.1675987057739705,-1.05218693754068,2.5576428224996324,0.4346797288395497,-0.5813182713722701,-0.8956354956006802,0.6057016546260543,2.799567935535615,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35751014947891235,1,0.0,0,0.0050845089863287285,1,0.00044727900240104645,5.735400191042572e-05,0.000191945000551641,8.318005711771548e-06,1.2728007277473807e-05,3.180030034855008e-07,5.653499101754278e-05,5.29800308868289e-06,0.0009721159876789898,0.00402788401232101,0.0041025910031748936,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35751014947891235,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.23565762701037,16.440978662009,TRANSPORT,,W1,trust_experiment,-0.026920679040693937,-0.10327276664147433,0.003621963853886587,1,-0.1168831168831169,0,0.39233386734500963,0.3376960910817376,0.16510237897613245,0.3991516129024512,0.3207836420833063,0.16759954788543638,-1.081280957839818,2.5359384242193443,0.4455346993817644,-0.5746573920111326,-0.9028818808947578,0.6064625690561081,2.7926069128275617,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35751014947891235,1,0.0,0,0.005083211013698019,1,0.0003439540014369413,4.5132997911423445e-05,0.0002686929947230965,8.796007023192942e-06,1.0792005923576653e-05,4.00003045797348e-07,6.767900777049363e-05,3.082997864112258e-06,0.0008966140012489632,0.004103385998751037,0.004176788002951071,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35751014947891235,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.26944299400202,16.474764029000653,TRANSPORT,,W1,trust_experiment,-0.026489646219098564,-0.10274855890414258,0.004083859092274147,1,-0.1168831168831169,0,0.39104076888022354,0.33612346786974234,0.16648806469129512,0.39914694540340057,0.32078270556137306,0.16759591546138736,-1.1500483527136138,2.4848371528699054,0.48848413636288734,-0.5518527990629143,-0.927346527892891,0.6089169050974883,2.7813025080598677,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.033785366991651244,1,0.0002855319908121601,5.1871000323444605e-05,0.00019630099995993078,7.922004442662e-06,1.768500078469515e-05,3.0999945010989904e-07,5.998500273562968e-05,3.0470109777525067e-06,0.000820597997517325,0.004179402002482675,0.03295861899096053,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.274574634007877,16.47989566900651,TRANSPORT,,W1,trust_experiment,-0.026425332924380304,-0.1026834117867601,0.0041535468051030885,1,-0.1168831168831169,0,0.39084782899606874,0.3359280265175949,0.16669712782978194,0.39914711683647064,0.320781893367509,0.1675943636170861,-1.1989763849351072,2.446182661504747,0.5199158287957023,-0.5349471134375383,-0.9439048430280024,0.6101176390944575,2.773385377856966,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005131640005856752,1,0.0004692270013038069,4.322400491219014e-05,0.0006904799956828356,6.9130037445575e-06,1.0267991456203163e-05,3.758599632419646e-05,5.379899812396616e-05,0.0010266230092383921,0.0025176600029226393,0.002482339997077361,0.0025529090053169057,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.279672051008674,16.484993086007307,TRANSPORT,,W1,trust_experiment,-0.026358448770266163,-0.10261852062185367,0.004217010355179805,1,-0.1168831168831169,0,0.3906471765337263,0.3357333530228756,0.1668875184800121,0.39914674842401826,0.32078040775701333,0.1675941902678431,-1.2389294994720172,2.4159409473199545,0.5461953887100982,-0.521236625296627,-0.9579088413586383,0.6117216846390972,2.769484856114472,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005097417000797577,1,0.00038684999162796885,5.9618003433570266e-05,0.00016992200107779354,7.57299130782485e-06,1.1836993508040905e-05,3.2900425139814615e-07,4.8403002438135445e-05,3.398003173060715e-06,0.0008633919933345169,0.004136608006665483,0.004224563992465846,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.28474631800782,16.490067353006452,TRANSPORT,,W1,trust_experiment,-0.026288588071019053,-0.10254691556774563,0.004274662809736435,1,-0.1168831168831169,0,0.390437594435985,0.33551853786055147,0.167060475843682,0.39914235561775246,0.3207784940506656,0.16758947994705875,-1.2702948410626382,2.3913565063096076,0.5757182334999896,-0.5078667901946949,-0.9720940547865826,0.6127763657146583,2.7683363971677997,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005074266999145038,1,0.00023965100990608335,4.559299850370735e-05,0.00027384200075175613,7.589012966491282e-06,1.0296993423253298e-05,3.0599767342209816e-07,4.750900552608073e-05,2.615997800603509e-06,0.0007695459935348481,0.004230454006465152,0.004296771003282629,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.289828185006627,16.49514922000526,TRANSPORT,,W1,trust_experiment,-0.02621919165677876,-0.10248219954262876,0.00433197061591428,1,-0.1168831168831169,0,0.39022940519326416,0.33532438978520085,0.16723239926221553,0.39914234764006373,0.320779732834177,0.16759185378917596,-1.2907236136193794,2.3680831088000915,0.5973147607406628,-0.4970286565426987,-0.9807409461522791,0.610965646804866,2.7623486348282777,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005081866998807527,1,0.000438987000961788,5.02720067743212e-05,0.00022752401127945632,6.607995601370931e-06,9.466995834372938e-06,2.839951775968075e-07,5.065101140644401e-05,3.2840034691616893e-06,0.00093319799634628,0.00406680200365372,0.004138239004532807,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.295458845997928,16.50077988099656,TRANSPORT,,W1,trust_experiment,-0.02614992314311282,-0.10241312888726663,0.004375496266157386,1,-0.1168831168831169,0,0.39002159965226635,0.33511717781911443,0.16736297621294485,0.399142761101242,0.32077898322381937,0.16759129017345326,-1.3114385271958657,2.347465348403102,0.6164899200661552,-0.48782442741989035,-0.9890135562696851,0.6101626633483416,2.7587178895476305,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005630660991300829,1,0.0003279670054325834,5.008200241718441e-05,0.00025810199440456927,1.9198996596969664e-05,2.528900222387165e-05,7.159978849813342e-07,6.323799607343972e-05,2.6030029403045774e-06,0.0009065509948413819,0.004093449005158618,0.004713629008620046,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.30053591899923,16.505856953997863,TRANSPORT,,W1,trust_experiment,-0.026078430019549598,-0.10235130884752491,0.00441239380683354,1,-0.1168831168831169,0,0.3898071202815767,0.3349317176998893,0.1674736688349733,0.3991401526196689,0.32077952068065985,0.16758934218971908,-1.3294742724997033,2.3260889189320637,0.6360207185663889,-0.4782087582347023,-0.9970875174088119,0.6080107918556842,2.7536727936453995,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005077073001302779,1,0.0005038240051362664,4.749800427816808e-05,0.0002219909947598353,7.587994332425296e-06,1.2642994988709688e-05,4.2699684854596853e-07,5.733800935558975e-05,3.620996722020209e-06,0.0010138630022993311,0.003986136997700669,0.0040543429931858554,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.30650008500379,16.511821120002423,TRANSPORT,,W1,trust_experiment,-0.025977000212387025,-0.10226260895838832,0.0044730488680409745,1,-0.1168831168831169,0,0.38950283086008897,0.3346656180324795,0.16765563401859562,0.3991392728887054,0.32077809049787753,0.1675889564611234,-1.3537370553251415,2.306457655183017,0.6588982175717796,-0.4685814659092804,-1.0082565655747247,0.6082223196411678,2.754359778829192,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.0059641660045599565,1,0.0004246909957146272,5.478900857269764e-05,0.00022292400535661727,9.166993550024927e-06,1.2907999916933477e-05,3.159948391839862e-07,5.817299825139344e-05,2.592991222627461e-06,0.0009654699970269576,0.0040345300029730425,0.004986761006875895,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.311572859005537,16.51689389400417,TRANSPORT,,W1,trust_experiment,-0.0259351446921387,-0.10222474096065594,0.004500626465175859,1,-0.1168831168831169,0,0.389377264299344,0.33455201403928236,0.1677383668100003,0.3991412500378802,0.32077590794213107,0.16758910172785554,-1.3735945648277292,2.2875321247247506,0.6796030045669695,-0.45948118172276226,-1.0181726552606758,0.6070619220430367,2.7534388487831833,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.0050727740017464384,1,0.0021661089995177463,5.215499550104141e-05,0.00023882099776528776,6.708010914735496e-06,9.616996976546943e-06,3.967600059695542e-05,4.4683998567052186e-05,6.0489983297884464e-06,0.00272193799901288,0.00227806200098712,0.0023438759963028133,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.316652441004408,16.52197347600304,TRANSPORT,,W1,trust_experiment,-0.02586111643042048,-0.10216305419627396,0.004531427003622424,1,-0.1168831168831169,0,0.3891551795141893,0.33436695374613645,0.16783076842533998,0.3991368073568052,0.32077537193939076,0.16758704333756302,-1.3964048697702782,2.2746965135191988,0.6949987351773995,-0.45401909894886316,-1.027346591703906,0.6090052946692248,2.758117842085927,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.005079581998870708,1,0.00033456199162174016,4.912799340672791e-05,0.00027161999605596066,6.160989869385958e-06,1.096399500966072e-05,3.66999302059412e-07,4.861300112679601e-05,2.734013833105564e-06,0.0008716269949218258,0.004128373005078174,0.004198162001557648,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
3,25.32173461500497,16.527055650003604,TRANSPORT,,W1,trust_experiment,-0.02578445300574908,-0.10210164420472641,0.00455601214105267,1,-0.1168831168831169,0,0.3889251892401751,0.33418272377149383,0.16790452383763071,0.3991346107866346,0.32077611619319674,0.16758627096836384,-1.437217276388135,2.285996839948757,0.7132974125657454,-0.4553230185016238,-1.0437648399488524,0.6260421809557433,2.7928781302765824,241.84759495506026,15.720093672078917,1.0,0.5,0.3,3.0,HOLDING,0.0,0.053756047040224075,1,0.05,20.0,1,mouse,deliberately_overstiff,0.35200706124305725,1,0.0,0,0.0050821740005631,1,0.0002723789948504418,5.688500823453069e-05,0.00022202699619811028,7.1590038714930415e-06,1.1348005500622094e-05,2.940068952739239e-07,5.605300248134881e-05,2.8099893825128675e-06,0.0007970070000737906,0.0042029929999262096,0.004273903992725536,0,0,0,200.0,0.0,0,0.0,1.307391100514259,0.016760880417189386,1.3576737417658273,mouse,overstiff,1,W1,mouse,hard,0.35200706124305725,deliberately_overstiff,250.0,160.0,0.8841239459863462,0.0,0.06089579244120438,1.5,239.57115513877116,-8.15240504493974,0,fac94a0964378623
